category_ratio_00,category_ratio_01,category_ratio_02,category_ratio_03,category_ratio_04,category_ratio_05,category_ratio_06,category_ratio_07,category_ratio_08,category_ratio_09,category_ratio_10
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
60.63836,70.20237,74.05299,79.57537,79.88878,46.4959,47.89281,57.7799,55.72365,72.11413,55.34725
